Date,AAPL,GS,TSLA
2019-12-31,73.4124984741211,229.92999267578125,27.8886661529541
2020-01-02,75.0875015258789,234.32000732421875,28.68400001525879
2020-01-03,74.35749816894531,231.5800018310547,29.534000396728516
2020-01-06,74.94999694824219,233.9499969482422,30.1026668548584
2020-01-07,74.59750366210938,235.49000549316406,31.270666122436523
2020-01-08,75.79750061035156,237.75999450683594,32.80933380126953
2020-01-09,77.40750122070312,242.60000610351562,32.089332580566406
2020-01-10,77.5824966430664,242.11000061035156,31.876667022705078
2020-01-13,79.23999786376953,245.2100067138672,34.990665435791016
2020-01-14,78.16999816894531,245.66000366210938,35.861331939697266
2020-01-15,77.83499908447266,245.2100067138672,34.56666564941406
2020-01-16,78.80999755859375,249.72000122070312,34.232666015625
2020-01-17,79.68250274658203,249.4600067138672,34.03333282470703
2020-01-21,79.14250183105469,245.6999969482422,36.47999954223633
2020-01-22,79.42500305175781,247.0500030517578,37.97066879272461
2020-01-23,79.80750274658203,245.5800018310547,38.14666748046875
2020-01-24,79.57749938964844,241.9199981689453,37.654666900634766
2020-01-27,77.23750305175781,238.13999938964844,37.201332092285156
2020-01-28,79.42250061035156,242.5800018310547,37.793331146240234
2020-01-29,81.08499908447266,240.1199951171875,38.732666015625
2020-01-30,80.96749877929688,244.1300048828125,42.72066879272461
2020-01-31,77.37750244140625,237.75,43.371334075927734
2020-02-03,77.16500091552734,239.00999450683594,52.0
2020-02-04,79.7125015258789,241.94000244140625,59.137332916259766
2020-02-05,80.36250305175781,244.3000030517578,48.97999954223633
2020-02-06,81.30249786376953,241.82000732421875,49.930667877197266
2020-02-07,80.00749969482422,238.0,49.871334075927734
2020-02-10,80.38749694824219,237.36000061035156,51.41866683959961
2020-02-11,79.90249633789062,236.4600067138672,51.62533187866211
2020-02-12,81.80000305175781,238.64999389648438,51.15266799926758
2020-02-13,81.21749877929688,238.35000610351562,53.599998474121094
2020-02-14,81.23750305175781,237.0800018310547,53.33533477783203
2020-02-18,79.75,233.2100067138672,57.22666549682617
2020-02-19,80.90499877929688,237.3300018310547,61.16133117675781
2020-02-20,80.07499694824219,232.72999572753906,59.96066665649414
2020-02-21,78.26249694824219,230.6199951171875,60.06666564941406
2020-02-24,74.54499816894531,224.5399932861328,55.58599853515625
2020-02-25,72.0199966430664,217.61000061035156,53.32733154296875
2020-02-26,73.1624984741211,215.77999877929688,51.91999816894531
2020-02-27,68.37999725341797,205.69000244140625,45.266666412353516
2020-02-28,68.33999633789062,200.77000427246094,44.53266525268555
2020-03-02,74.70249938964844,209.47000122070312,49.574668884277344
2020-03-03,72.33000183105469,203.42999267578125,49.70066833496094
2020-03-04,75.68499755859375,208.74000549316406,49.96666717529297
2020-03-05,73.2300033569336,198.7899932861328,48.30266571044922
2020-03-06,72.25749969482422,192.85000610351562,46.89866638183594
2020-03-09,66.5425033569336,172.80999755859375,40.53333282470703
2020-03-10,71.33499908447266,184.35000610351562,43.02199935913086
2020-03-11,68.85749816894531,171.88999938964844,42.28200149536133
2020-03-12,62.057498931884766,150.67999267578125,37.369998931884766
2020-03-13,69.49250030517578,177.1699981689453,36.44133377075195
2020-03-16,60.5525016784668,154.66000366210938,29.67133331298828
2020-03-17,63.21500015258789,158.6699981689453,28.68000030517578
2020-03-18,61.66749954223633,140.02000427246094,24.08133316040039
2020-03-19,61.19499969482422,149.49000549316406,28.50933265686035
2020-03-20,57.310001373291016,138.41000366210938,28.50200080871582
2020-03-23,56.092498779296875,134.97000122070312,28.952667236328125
2020-03-24,61.720001220703125,153.60000610351562,33.66666793823242
2020-03-25,61.380001068115234,155.1300048828125,35.95000076293945
2020-03-26,64.61000061035156,165.7899932861328,35.21066665649414
2020-03-27,61.935001373291016,158.33999633789062,34.29066848754883
2020-03-30,63.70249938964844,159.6199951171875,33.47533416748047
2020-03-31,63.5724983215332,154.58999633789062,34.93333435058594
2020-04-01,60.227500915527344,145.2899932861328,32.104000091552734
2020-04-02,61.23249816894531,149.92999267578125,30.29800033569336
2020-04-03,60.352500915527344,146.92999267578125,32.000667572021484
2020-04-06,65.61750030517578,158.22999572753906,34.41600036621094
2020-04-07,64.85749816894531,166.02000427246094,36.36333465576172
2020-04-08,66.51750183105469,176.9600067138672,36.589332580566406
2020-04-09,66.99749755859375,184.25999450683594,38.20000076293945
2020-04-13,68.3125,179.17999267578125,43.39666748046875
2020-04-14,71.76249694824219,178.22999572753906,47.32600021362305
2020-04-15,71.10749816894531,178.52000427246094,48.65533447265625
2020-04-16,71.67250061035156,177.0399932861328,49.680667877197266
2020-04-17,70.69999694824219,183.49000549316406,50.259334564208984
2020-04-20,69.23249816894531,180.39999389648438,49.75733184814453
2020-04-21,67.09249877929688,173.80999755859375,45.781333923339844
2020-04-22,69.0250015258789,175.97999572753906,48.807334899902344
2020-04-23,68.75749969482422,175.0500030517578,47.04199981689453
2020-04-24,70.74250030517578,177.0,48.34333419799805
2020-04-27,70.7925033569336,183.5399932861328,53.25
2020-04-28,69.6449966430664,187.00999450683594,51.27466583251953
2020-04-29,71.93250274658203,190.02999877929688,53.367332458496094
2020-04-30,73.44999694824219,183.4199981689453,52.12533187866211
2020-05-01,72.26750183105469,177.10000610351562,46.75466537475586
2020-05-04,73.29000091552734,176.02999877929688,50.74599838256836
2020-05-05,74.38999938964844,178.3000030517578,51.2140007019043
2020-05-06,75.15750122070312,176.9199981689453,52.172000885009766
2020-05-07,75.93499755859375,182.32000732421875,52.00266647338867
2020-05-08,77.53250122070312,185.38999938964844,54.62799835205078
